678,26099
2260,8075
3109,88444
4396,18317
5037,13276
5279,41684
5703,97264
5921,55568
5944,73843
6045,78055
6512,88221
7379,8814
9209,81097
9640,96798
9863,53575
10424,85571
11034,12504
11228,94965
13646,87776
14997,47890
16707,17721
16959,31294
17055,57684
17748,62016
17902,96383
18428,55203
18450,32818
18625,76549
19342,57257
19506,36209
19945,21746
20559,62324
20741,11731
21024,69127
21056,56560
21895,80395
23015,69491
23385,34514
24978,56532
25655,51183
26391,91287
26929,99598
27281,29534
27642,72095
27760,73049
28433,82215
28508,35914
28877,13072
28939,95358
29428,37971
30664,37107
30889,44142
31385,2681
31561,87707
32293,42614
32348,5226
32547,65489
32646,28841
32734,71223
32754,12883
33642,78026
34743,56581
35306,2831
36886,20821
38552,31532
38609,76602
38768,9433
38826,56986
39406,85239
39698,50695
39891,60170
40632,70125
41654,2544
42190,56070
43121,10677
43635,16526
44564,32791
44735,75513
45021,12335
45483,71457
45623,10250
45677,27712
46023,69441
46937,97581
46993,45262
47163,25817
47605,86085
48409,44653
48935,37708
49524,27183
50712,37961
51135,1520
51322,93053
51653,38831
51912,30346
52095,73518
52157,48444
52400,83174
52637,66814
54268,39477
54293,142
54795,22095
54887,84927
55168,71924
55349,79872
56025,98705
56684,36653
57240,7485
57937,49726
58595,40728
58696,11878
58859,30315
58953,7332
59327,41485
61345,46026
61446,97887
61585,77179
62926,32949
63166,21093
64301,77236
64389,1948
65320,36983
65585,63587
65735,682
65969,86791
66005,37324
66543,11808
66762,68772
67119,47450
67223,2193
67235,42673
67309,60709
68580,57813
69097,79578
69228,34695
69567,23367
69631,22110
69671,32976
69705,55673
70524,45394
70570,7508
71185,94541
71188,98721
71617,4408
71736,69580
72515,49978
73416,1330
73925,32835
73976,22764
74180,16972
74332,78776
75130,31027
75256,3178
75414,19200
75894,56757
76331,28496
77319,85867
77596,20285
77707,19031
77729,63765
79431,58933
79513,44694
81281,17880
81544,28004
83210,13005
83467,92322
83562,93110
83710,39869
83782,37449
84249,66734
84442,82526
85122,51243
85444,51524
87265,20871
88096,84956
88418,56738
88466,17182
88837,78119
89294,16487
89424,28337
89454,69426
89495,3884
89700,86137
90222,61111
90440,41434
90462,55086
90803,26855
91409,31607
91578,15308
92312,46444
92558,49858
93424,82472
94482,77568
95086,77532
96857,88495
97037,50223
97993,5269
98025,91778
98301,89084
99692,92770
