1944,26698
3255,33535
4817,20442
5729,45708
6529,61285
6844,79466
7610,42711
7778,21111
9427,82461
11611,30119
12125,69180
12251,85273
12326,60335
14974,80708
15254,79508
15697,56087
16438,48235
17219,79075
17997,64429
19708,1255
20002,16990
21368,59860
23689,32206
24459,53650
25636,64304
25925,13294
25979,63518
27390,22054
28205,57750
30493,4176
32431,55942
33271,63083
33418,41569
34062,15650
34358,89143
36378,39680
36790,90225
37120,42687
37183,84988
37962,17173
39417,51183
39853,31252
40129,66241
40264,41614
41151,5416
42224,63000
43016,53012
45559,9871
49547,13727
50168,82200
50230,12344
50852,2530
51062,53338
54431,69484
55093,69541
55185,5252
55600,94491
56345,57695
57332,15807
57733,4880
58344,90979
59150,6685
59441,11661
60245,60858
64284,8416
64361,37296
67628,46632
70568,23453
70815,19652
72813,68620
73299,15705
73420,44215
74674,24919
75130,29735
75714,59058
76017,97578
77001,24400
77192,45247
77748,57659
78449,17079
78918,36012
80514,94493
80938,84369
81069,21790
81861,90794
83933,7760
84241,85439
86734,94840
86787,93751
87669,29465
88233,19565
88861,82535
90010,3697
90511,78064
90584,57890
90602,33031
91883,12427
92483,13508
93019,72249
94269,64800
